"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"69","My Own Words",NA,"Ruth Bader Ginsburg, Mary Hartnett, Wendy W. Williams","Linda Lavin","13 hrs and 16 mins","10-04-16","English","4.5 out of 5 stars","2,694 ratings","$24.49","https://www.audible.com/pd/My-Own-Words-Audiobook/B01K3KUJ5C?ref=a_adblbests_c3_lProduct_4_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=X93PY71DMNM2DBG61T4A"
"70","Hypnotic Gastric Band","Stop Food Addiction and Eat Healthy with Rapid Weight Loss Hypnosis. Self Esteem, Confidence, Meditation, Deep Sleep, Past Life Regression, and Positive Affirmations for Women","Dr. Luis Campbell, Mindfulness Sebi","Courtney Encheff","3 hrs and 26 mins","09-01-20","English","5 out of 5 stars","72 ratings","$14.95","https://www.audible.com/pd/Hypnotic-Gastric-Band-Audiobook/B08GTSTF5P?ref=a_adblbests_c3_lProduct_4_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=X93PY71DMNM2DBG61T4A"
"71","Daylight",NA,"David Baldacci","Brittany Pressley, Kyf Brewer","11 hrs and 37 mins","11-17-20","English",NA,"Not rated yet","$30.79","https://www.audible.com/pd/Daylight-Audiobook/1478999322?ref=a_adblbests_c3_lProduct_4_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=X93PY71DMNM2DBG61T4A"
"72","Ready Player One",NA,"Ernest Cline","Wil Wheaton","15 hrs and 40 mins","08-16-11","English","5 out of 5 stars","232,762 ratings","$31.50","https://www.audible.com/pd/Ready-Player-One-Audiobook/B005FRGT44?ref=a_adblbests_c3_lProduct_4_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=X93PY71DMNM2DBG61T4A"
"73","The Chronicles of Narnia Adult Box Set",NA,"C. S. Lewis","Kenneth Branagh, Alex Jennings, Michael York, Lynn Redgrave, Derek Jacobi, Jeremy Northam, Patrick Stewart","33 hrs and 45 mins","12-27-19","English","5 out of 5 stars","4,115 ratings","$53.61","https://www.audible.com/pd/The-Chronicles-of-Narnia-Adult-Box-Set-Audiobook/0061999881?ref=a_adblbests_c3_lProduct_4_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=X93PY71DMNM2DBG61T4A"
"74","The Fellowship of the Ring","Book One in The Lord of the Rings Trilogy","J. R. R. Tolkien","Rob Inglis","19 hrs and 7 mins","10-09-12","English","5 out of 5 stars","45,820 ratings","$38.49","https://www.audible.com/pd/The-Fellowship-of-the-Ring-Audiobook/B0099RKRTY?ref=a_adblbests_c3_lProduct_4_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=X93PY71DMNM2DBG61T4A"
"75","Dare to Lead","Brave Work. Tough Conversations. Whole Hearts.","Brené Brown","Brené Brown","8 hrs and 10 mins","10-09-18","English","4.5 out of 5 stars","20,188 ratings","$24.50","https://www.audible.com/pd/Dare-to-Lead-Audiobook/B07DJYBXNC?ref=a_adblbests_c3_lProduct_4_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=X93PY71DMNM2DBG61T4A"
"76","Sapiens","A Brief History of Humankind","Yuval Noah Harari","Derek Perkins","15 hrs and 17 mins","08-15-17","English","4.5 out of 5 stars","39,542 ratings","$34.22","https://www.audible.com/pd/Sapiens-Audiobook/B0741G911Q?ref=a_adblbests_c3_lProduct_4_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=X93PY71DMNM2DBG61T4A"
"77","Educated","A Memoir","Tara Westover","Julia Whelan","12 hrs and 10 mins","02-20-18","English","5 out of 5 stars","104,314 ratings","$28.00","https://www.audible.com/pd/Educated-Audiobook/B075F8MBMQ?ref=a_adblbests_c3_lProduct_4_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=X93PY71DMNM2DBG61T4A"
"78","The Silent Patient",NA,"Alex Michaelides","Jack Hawkins, Louise Brealey","8 hrs and 43 mins","02-05-19","English","4.5 out of 5 stars","50,416 ratings","$27.99","https://www.audible.com/pd/The-Silent-Patient-Audiobook/1250317533?ref=a_adblbests_c3_lProduct_4_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=X93PY71DMNM2DBG61T4A"
