"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price"
"88","Troubled Blood","A Cormoran Strike Novel, Book 5","Robert Galbraith","Robert Glenister","31 hrs and 52 mins","09-15-20","English","5 out of 5 stars","3,654 ratings","$30.79"
"89","Battle Ground","Dresden Files, Book 17","Jim Butcher","James Marsters","15 hrs and 43 mins","09-29-20","English","5 out of 5 stars","9,809 ratings","$35.00"
"90","The Salvage Crew",NA,"Yudhanjaya Wijeratne","Nathan Fillion","8 hrs and 21 mins","10-27-20","English","4.5 out of 5 stars","201 ratings","$34.99"
"91","How to Be an Antiracist",NA,"Ibram X. Kendi","Ibram X. Kendi","10 hrs and 43 mins","08-13-19","English","5 out of 5 stars","9,145 ratings","$28.00"
"92","From Blood and Ash","Blood and Ash, Book 1","Jennifer L. Armentrout","Stina Nielsen","19 hrs and 46 mins","09-08-20","English","5 out of 5 stars","1,068 ratings","$31.49"
"93","The Total Money Makeover","A Proven Plan for Financial Fitness","Dave Ramsey","Dave Ramsey","3 hrs and 41 mins","11-07-03","English","4.5 out of 5 stars","35,691 ratings","$20.52"
"94","48 Laws of Power",NA,"Robert Greene","Richard Poe","23 hrs and 6 mins","05-01-15","English","4.5 out of 5 stars","14,602 ratings","$24.49"
"95","The Gifts of Imperfection, 10th Anniversary Edition","Features a New Foreword","Brené Brown","Brené Brown","4 hrs and 31 mins","09-08-20","English","5 out of 5 stars","1,056 ratings","$17.50"
"96","Then She Was Gone","A Novel","Lisa Jewell","Helen Duff","10 hrs and 12 mins","04-17-18","English","4.5 out of 5 stars","53,332 ratings","$34.99"
"97","We Are Legion (We Are Bob)","Bobiverse, Book 1","Dennis E. Taylor","Ray Porter","9 hrs and 56 mins","09-20-16","English","4.5 out of 5 stars","83,519 ratings","$19.95"
"98","If You Tell","A True Story of Murder, Family Secrets, and the Unbreakable Bond of Sisterhood","Gregg Olsen","Karen Peakes","10 hrs and 34 mins","12-01-19","English","4.5 out of 5 stars","11,827 ratings","$29.99"
"99","Think and Grow Rich",NA,"Napoleon Hill","Erik Synnestvedt","9 hrs and 35 mins","10-16-07","English","4.5 out of 5 stars","21,869 ratings","$24.95"
"100","The Housekeeper","A Twisted Psychological Thriller","Natalie Barelli","Susie Berneis","8 hrs and 4 mins","01-02-20","English","4 out of 5 stars","6,503 ratings","$34.99"
