"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"74","The Things We Cannot Say","","Kelly Rimmer","Ann Marie Gideon, Nancy Peterson",822,2019-03-19,"English",5,20482,31.93,"https://www.audible.com/pd/The-Things-We-Cannot-Say-Audiobook/B07MBBHPQ5?ref=a_adblbests_c3_lProduct_4_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"75","American Dirt (Oprah's Book Club)","A Novel","Jeanine Cummins","Yareli Arizmendi",1003,2020-01-21,"English",4.5,18255,27.99,"https://www.audible.com/pd/American-Dirt-Oprahs-Book-Club-Audiobook/1250260604?ref=a_adblbests_c3_lProduct_4_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"76","I Can't Make This Up","Life Lessons","Neil Strauss - contributor, Kevin Hart","Kevin Hart",675,2017-06-06,"English",4.5,47126,29.95,"https://www.audible.com/pd/I-Cant-Make-This-Up-Audiobook/B06VX4GHHG?ref=a_adblbests_c3_lProduct_4_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"77","The Silent Patient","","Alex Michaelides","Jack Hawkins, Louise Brealey",523,2019-02-05,"English",4.5,51201,27.99,"https://www.audible.com/pd/The-Silent-Patient-Audiobook/1250317533?ref=a_adblbests_c3_lProduct_4_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"78","The Ickabog","","J.K. Rowling","Stephen Fry",472,2020-11-10,"English",4.5,889,24.99,"https://www.audible.com/pd/The-Ickabog-Audiobook/B08D9T16JZ?ref=a_adblbests_c3_lProduct_4_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"79","Outlander","Outlander, Book 1","Diana Gabaldon","Davina Porter",1958,2006-07-13,"English",4.5,65731,34.99,"https://www.audible.com/pd/Outlander-Audiobook/B002V1CJ8W?ref=a_adblbests_c3_lProduct_4_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"80","The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich (Expanded and Updated)","","Timothy Ferriss","Ray Porter",781,2008-12-28,"English",4.5,17606,23.07,"https://www.audible.com/pd/The-4-Hour-Workweek-Escape-9-5-Live-Anywhere-and-Join-the-New-Rich-Expanded-and-Updated-Audiobook/B0031AS3BE?ref=a_adblbests_c3_lProduct_4_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=RBCB1SJQQ5RZZP1FD3N0"
"81","Breath","The New Science of a Lost Art","James Nestor","James Nestor",438,2020-05-26,"English",5,2766,24.5,"https://www.audible.com/pd/Breath-Audiobook/0593211510?ref=a_adblbests_c3_lProduct_5_1&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"82","The Hobbit","","J. R. R. Tolkien","Rob Inglis",665,2012-10-09,"English",4.5,51519,27.99,"https://www.audible.com/pd/The-Hobbit-Audiobook/B0099RKI5W?ref=a_adblbests_c3_lProduct_5_2&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
"83","Badass Habits","Cultivate the Awareness, Boundaries, and Daily Upgrades You Need to Make Them Stick","Jen Sincero","Jen Sincero",291,2020-12-01,"English",5,65,24.5,"https://www.audible.com/pd/Badass-Habits-Audiobook/1984886169?ref=a_adblbests_c3_lProduct_5_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=V4PYXJ3WZHJHVHECDSDW"
