"Rank","Title","Subtitle","Author","Narrator","Length","Release","Language","Stars","Ratings","Price","URL"
"43","The Guest List","A Novel","Lucy Foley","Jot Davies, Chloe Massey, Olivia Dowd, Aoife McMahon, Sarah Ovens, Rich Keeble","10 hrs and 22 mins","06-02-20","English","4.5 out of 5 stars","12,199 ratings","$30.79","https://www.audible.com/pd/The-Guest-List-Audiobook/0062985051?ref=a_adblbests_c3_lProduct_3_3&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"44","The Subtle Art of Not Giving a F*ck","A Counterintuitive Approach to Living a Good Life","Mark Manson","Roger Wayne","5 hrs and 17 mins","09-13-16","English","4.5 out of 5 stars","136,847 ratings","$23.95","https://www.audible.com/pd/The-Subtle-Art-of-Not-Giving-a-F-ck-Audiobook/B01I28NFEE?ref=a_adblbests_c3_lProduct_3_4&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"45","Deadly Cross","Alex Cross, Book 28","James Patterson","Brad Sanders","8 hrs and 43 mins","11-23-20","English","4.5 out of 5 stars","143 ratings","$30.79","https://www.audible.com/pd/Deadly-Cross-Audiobook/1549128981?ref=a_adblbests_c3_lProduct_3_5&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"46","Rich Dad Poor Dad","What the Rich Teach Their Kids About Money - That the Poor and Middle Class Do Not!","Robert T. Kiyosaki","Tim Wheeler","6 hrs and 9 mins","06-15-12","English","5 out of 5 stars","59,390 ratings","$24.99","https://www.audible.com/pd/Rich-Dad-Poor-Dad-Audiobook/B008BT3C1Q?ref=a_adblbests_c3_lProduct_3_6&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"47","The Fountainhead",NA,"Ayn Rand","Christopher Hurt","32 hrs and 2 mins","11-02-07","English","4.5 out of 5 stars","10,798 ratings","$31.47","https://www.audible.com/pd/The-Fountainhead-Audiobook/B002V5A3TA?ref=a_adblbests_c3_lProduct_3_7&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"48","The Vanishing Half","A Novel","Brit Bennett","Shayna Small","11 hrs and 34 mins","06-02-20","English","4.5 out of 5 stars","7,734 ratings","$31.50","https://www.audible.com/pd/The-Vanishing-Half-Audiobook/0525637141?ref=a_adblbests_c3_lProduct_3_8&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"49","Post Corona","From Crisis to Opportunity","Scott Galloway","Scott Galloway","5 hrs and 39 mins","11-24-20","English","4.5 out of 5 stars","64 ratings","$24.50","https://www.audible.com/pd/Post-Corona-Audiobook/0593400224?ref=a_adblbests_c3_lProduct_3_9&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"50","The Righteous Mind","Why Good People Are Divided by Politics and Religion","Jonathan Haidt","Jonathan Haidt","11 hrs and 1 min","07-23-12","English","4.5 out of 5 stars","9,440 ratings","$34.99","https://www.audible.com/pd/The-Righteous-Mind-Audiobook/B008O8964Q?ref=a_adblbests_c3_lProduct_3_10&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"51","Tribe of Mentors","Short Life Advice from the Best in the World","Tim Ferriss","Kaleo Griffith, Ray Porter, Tim Ferriss, Therese Plummer","18 hrs and 43 mins","06-02-20","English","4.5 out of 5 stars","392 ratings","$39.95","https://www.audible.com/pd/Tribe-of-Mentors-Audiobook/B082VK89T8?ref=a_adblbests_c3_lProduct_3_11&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"52","The Chronicles of Narnia Adult Box Set",NA,"C. S. Lewis","Kenneth Branagh, Alex Jennings, Michael York, Lynn Redgrave, Derek Jacobi, Jeremy Northam, Patrick Stewart","33 hrs and 45 mins","12-27-19","English","5 out of 5 stars","4,295 ratings","$53.61","https://www.audible.com/pd/The-Chronicles-of-Narnia-Adult-Box-Set-Audiobook/0061999881?ref=a_adblbests_c3_lProduct_3_12&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"53","The Way of Kings","The Stormlight Archive, Book 1","Brandon Sanderson","Kate Reading, Michael Kramer","45 hrs and 30 mins","08-31-10","English","5 out of 5 stars","74,061 ratings","$63.93","https://www.audible.com/pd/The-Way-of-Kings-Audiobook/B003ZWFO7E?ref=a_adblbests_c3_lProduct_3_13&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"54","The Midnight Line","Jack Reacher, Book 22","Lee Child","Dick Hill","13 hrs and 6 mins","11-07-17","English","4.5 out of 5 stars","11,794 ratings","$31.50","https://www.audible.com/pd/The-Midnight-Line-Audiobook/B071D1Q7ZT?ref=a_adblbests_c3_lProduct_3_14&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"55","American Predator","The Hunt for the Most Meticulous Serial Killer of the 21st Century","Maureen Callahan","Amy Landon","9 hrs and 3 mins","07-02-19","English","4.5 out of 5 stars","3,704 ratings","$28.00","https://www.audible.com/pd/American-Predator-Audiobook/1984889508?ref=a_adblbests_c3_lProduct_3_15&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"56","Midnight Sun",NA,"Stephenie Meyer","Jake Abel","25 hrs and 49 mins","08-04-20","English","4.5 out of 5 stars","12,788 ratings","$34.21","https://www.audible.com/pd/Midnight-Sun-Audiobook/1549134663?ref=a_adblbests_c3_lProduct_3_16&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"57","The 7 Habits of Highly Effective People","Powerful Lessons in Personal Change","Stephen R. Covey","Stephen R. Covey","13 hrs and 4 mins","12-28-03","English","4.5 out of 5 stars","32,134 ratings","$28.30","https://www.audible.com/pd/The-7-Habits-of-Highly-Effective-People-Audiobook/B002V5HAL4?ref=a_adblbests_c3_lProduct_3_17&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"58","Dune",NA,"Frank Herbert","Scott Brick, Orlagh Cassidy, Euan Morton, Simon Vance, Ilyana Kadushin","21 hrs and 2 mins","12-31-06","English","4.5 out of 5 stars","65,938 ratings","$47.93","https://www.audible.com/pd/Dune-Audiobook/B002V1OF70?ref=a_adblbests_c3_lProduct_3_18&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"59","Talking to Strangers","What We Should Know About the People We Don't Know","Malcolm Gladwell","Malcolm Gladwell","8 hrs and 42 mins","09-10-19","English","4.5 out of 5 stars","54,848 ratings","$30.79","https://www.audible.com/pd/Talking-to-Strangers-Audiobook/1549150340?ref=a_adblbests_c3_lProduct_3_19&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
"60","The Ickabog",NA,"J.K. Rowling","Stephen Fry","7 hrs and 52 mins","11-10-20","English","4.5 out of 5 stars","625 ratings","$24.99","https://www.audible.com/pd/The-Ickabog-Audiobook/B08D9T16JZ?ref=a_adblbests_c3_lProduct_3_20&pf_rd_p=4100380b-3e9d-4594-990a-9c93d1a8dac3&pf_rd_r=R69DD2ZWK148AR3XR3ZN"
